date_releve,marque,nb_total,nb_electrique,proportion_electrique
2026-07-16T21:28:31,Abarth,7,3,0.4286
2026-07-16T21:28:31,Alfa Romeo,18,1570,87.2222
2026-07-16T21:28:31,Alpine,42,14,0.3333
2026-07-16T21:28:31,Aston Martin,1,1570,1570.0
2026-07-16T21:28:31,Audi,306,30,0.098
2026-07-16T21:28:31,Bmw,765,85,0.1111
2026-07-16T21:28:31,Byd,9,7,0.7778
2026-07-16T21:28:31,Citroen,1503,74,0.0492
2026-07-16T21:28:31,Cupra,35,3,0.0857
2026-07-16T21:28:31,Dacia,1367,165,0.1207
2026-07-16T21:28:31,Ds,331,31,0.0937
2026-07-16T21:28:31,Fiat,126,26,0.2063
2026-07-16T21:28:31,Ford,413,49,0.1186
2026-07-16T21:28:31,Honda,6,1570,261.6667
2026-07-16T21:28:31,Hyundai,121,2,0.0165
2026-07-16T21:28:31,Isuzu,1,1570,1570.0
2026-07-16T21:28:31,Iveco,1,1570,1570.0
2026-07-16T21:28:31,Jaguar,16,2,0.125
2026-07-16T21:28:31,Jeep,30,1570,52.3333
2026-07-16T21:28:31,Peugeot,2863,295,0.103
2026-07-16T21:28:31,Porsche,41,11,0.2683
2026-07-16T21:28:31,Renault,4323,391,0.0904
2026-07-16T21:28:31,Seat,115,1570,13.6522
2026-07-16T21:28:31,Skoda,108,3,0.0278
2026-07-16T21:28:31,Smart,7,7,1.0
2026-07-16T21:28:31,Subaru,2,1,0.5
2026-07-16T21:28:31,Suzuki,73,3,0.0411
2026-07-16T21:28:31,Toyota,560,11,0.0196
2026-07-16T21:28:31,Volkswagen,553,38,0.0687
2026-07-16T21:28:31,Volvo,158,51,0.3228
